Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	19.01923076923077	6.921233728993765	-inf	52	0.982	0.0005	2.297606733110216e-05
2000	19.5	8.177407902263406	19.5	103	0.964	0.0005	0.00019597391287485758
3000	20.24	9.036725070510888	20.79	150	0.946	0.0005	0.00032338003317515057
4000	21.02	10.106413805104165	21.1	196	0.9279999999999999	0.0005	0.00045626448260413277
5000	20.76	10.898733871418274	21.29	246	0.91	0.0005	0.0005907617012659708
6000	22.24	13.141628514000843	22.24	287	0.892	0.0005	0.0007233636246787177
7000	23.93	14.143730059641268	24.24	327	0.874	0.0005	0.000863101945983039
8000	26.6	15.190786681406594	26.65	362	0.856	0.0005	0.0010022908449172975
9000	26.55	14.276816872118237	27.24	399	0.838	0.0005	0.0011368000507354736
10000	27.43	15.574501597161944	27.62	437	0.82	0.0005	0.0012733374701605902
11000	27.19	16.157162498409182	27.62	472	0.802	0.0005	0.0014112563927968344
12000	30.16	18.918097155898106	30.16	498	0.784	0.0005	0.001552327209048801
13000	34.28	22.23649252917375	34.33	519	0.766	0.0005	0.0016972411341137357
14000	39.64	27.229586849601663	39.64	538	0.748	0.0005	0.0018760416905085247
15000	44.62	30.539738047337604	44.97	557	0.73	0.0005	0.002043424447377523
16000	49.96	33.367025639094656	49.96	571	0.712	0.0005	0.002226546936564975
17000	53.48	35.24641258341053	53.81	589	0.694	0.0005	0.002559670541021559
18000	56.73	36.1905664503887	56.73	606	0.6759999999999999	0.0005	0.002735523647732205
19000	56.62	35.876672086468666	58.3	624	0.6579999999999999	0.0005	0.0028887427515453764
20000	59.51	35.92561620905061	59.51	640	0.6399999999999999	0.0005	0.0030557839075724285
21000	61.1	35.4080499321835	61.1	653	0.622	0.0005	0.003232783873875936
22000	61.11	35.91403486104005	61.92	668	0.604	0.0005	0.0034000633160273233
23000	65.03	39.4701038762251	65.03	679	0.586	0.0005	0.003574555052651299
24000	69.17	41.9742909410034	69.17	688	0.5680000000000001	0.0005	0.0037919347153769598
25000	73.92	43.56619790617492	73.92	699	0.55	0.0005	0.003965206146240234
26000	77.84	47.166454180911245	78.76	709	0.532	0.0005	0.004140054716004266
27000	83.43	48.25292840854325	83.43	716	0.514	0.0005	0.004324248631795247
28000	88.94	51.16479649133767	88.94	724	0.4959999999999999	0.0005	0.004501181377304925
29000	93.6	55.36117773313714	93.6	732	0.478	0.0005	0.00469827499654558
30000	100.3	57.70987783733389	100.3	739	0.45999999999999996	0.0005	0.0049165885978274875
31000	105.21	59.30148311804688	105.21	746	0.44199999999999995	0.0005	0.005096921722094218
32000	109.92	61.19112353928469	110.33	752	0.42399999999999993	0.0005	0.005303495857450697
33000	117.01	62.64016203682745	117.01	757	0.4059999999999999	0.0005	0.005507950782775879
34000	122.35	62.98783612730318	122.35	764	0.3879999999999999	0.0005	0.005710789693726434
35000	128.62	61.757069230979546	128.62	769	0.37	0.0005	0.005903326935238308
36000	132.53	62.51679054462089	132.53	774	0.352	0.0005	0.006137011912133959
37000	136.15	62.51117900023963	136.98	781	0.33399999999999996	0.0005	0.006334645549456278
38000	141.15	61.56449869851943	141.15	787	0.31599999999999995	0.0005	0.006538077526622348
39000	146.77	60.75769169413862	146.77	792	0.29799999999999993	0.0005	0.006743716398874919
40000	152.29	58.60056228399179	152.29	798	0.2799999999999999	0.0005	0.006973589195145501
41000	155.26	58.765401385509136	155.26	803	0.262	0.0005	0.00718394140402476
42000	160.11	56.66637362669328	160.11	808	0.244	0.0005	0.007401966982417636
43000	166.01	53.416007900254016	166.01	813	0.22599999999999998	0.0005	0.007619646125369602
44000	168.43	52.83904900733925	168.43	818	0.20799999999999996	0.0005	0.007820129460758633
45000	173.13	49.78105161605166	173.13	823	0.18999999999999995	0.0005	0.008027333352300856
46000	176.21	46.33967954140383	176.21	828	0.17199999999999993	0.0005	0.008246638576189676
47000	179.49	43.15495220713378	179.49	833	0.15400000000000003	0.0005	0.00846839361720615
48000	182.19	39.69123202925301	182.19	838	0.136	0.0005	0.008697317507531908
49000	185.65	35.358839064652564	185.65	843	0.118	0.0005	0.008923601110776265
50000	187.14	34.9982913868663	187.14	848	0.1	0.0005	0.00912352138095432
51000	189.03	31.869563850169012	189.03	853	0.0984	0.0005	0.009327479733361139
52000	189.03	31.869563850169012	189.03	858	0.09680000000000001	0.0005	0.009530679980913798
53000	191.75	27.36434724235168	191.75	863	0.0952	0.0005	0.009730662239922418
54000	192.83	26.167558158911195	192.83	868	0.0936	0.0005	0.009930952456262377
55000	192.89	26.177049107949507	192.89	873	0.092	0.0005	0.010134307477209304
56000	194.31	23.70851956575948	194.31	878	0.09040000000000001	0.0005	0.01033627000119951
57000	198.4	7.944809626416482	198.4	883	0.0888	0.0005	0.010539678600099352
58000	198.4	7.944809626416482	198.4	888	0.0872	0.0005	0.010742596719000075
59000	198.75	5.9217818264437945	198.75	893	0.08560000000000001	0.0005	0.010949778358141581
60000	199.23	3.9085930972665857	199.23	898	0.084	0.0005	0.011152587532997131
61000	199.03	4.350758554551149	199.23	903	0.0824	0.0005	0.011355275511741638
62000	198.89	4.538490938627067	199.23	908	0.08080000000000001	0.0005	0.011558881137106153
63000	198.9	4.517742799230607	199.23	913	0.0792	0.0005	0.01176503446367052
64000	197.93	7.2556943155014455	199.23	919	0.0776	0.0005	0.011985801127221848
65000	197.93	7.2556943155014455	199.23	924	0.07600000000000001	0.0005	0.012191874186197917
66000	197.89	7.255198136508748	199.23	929	0.07440000000000001	0.0005	0.012397644718488058
67000	197.04	8.976547220396048	199.23	934	0.0728	0.0005	0.01261047171221839
68000	190.63	30.60217475932062	199.23	942	0.07120000000000001	0.0005	0.012831293609407213
69000	190.6	30.59444394003591	199.23	947	0.06960000000000001	0.0005	0.013065781394640605
70000	189.55	31.156179162406932	199.23	953	0.068	0.0005	0.01327836275100708
71000	187.93	31.51769502993517	199.23	959	0.06640000000000001	0.0005	0.013490793903668722
72000	187.38	31.78105725113625	199.23	964	0.0648	0.0005	0.013747820854187012
73000	187.21	31.758556327389947	199.23	969	0.0632	0.0005	0.014010587533315022
74000	186.7	31.957941110152884	199.23	974	0.06160000000000001	0.0005	0.014248059723112319
75000	185.93	32.29094455106571	199.23	980	0.060000000000000005	0.0005	0.014473950333065456
76000	175.16	46.965459648554486	199.23	990	0.0584	0.0005	0.014687544769710965
77000	173.95	46.91340426786358	199.23	996	0.0568	0.0005	0.01489603386984931
78000	172.79	46.96111050646056	199.23	1002	0.0552	0.0005	0.01510204447640313
79000	172.31	46.98695457251938	199.23	1007	0.05360000000000001	0.0005	0.015312147537867228
80000	170.47	46.90510739780903	199.23	1013	0.052000000000000005	0.0005	0.015526360273361206
81000	170.14	46.73500187225844	199.23	1019	0.05040000000000001	0.0005	0.01573489142788781
82000	168.82	46.608235323813744	199.23	1024	0.0488	0.0005	0.01594591200351715
83000	168.82	46.608235323813744	199.23	1029	0.0472	0.0005	0.016154204474555123
84000	164.32	51.73410480524428	199.23	1040	0.0456	0.0005	0.01636260085635715
85000	163.7	51.64716836381255	199.23	1045	0.04400000000000001	0.0005	0.016582279668913947
86000	162.4	51.31646909131609	199.23	1052	0.04240000000000001	0.0005	0.016825068924162124
87000	161.97	51.694962036933546	199.23	1057	0.0408	0.0005	0.017029295563697814
88000	148.07	62.792237577585965	199.23	1070	0.039200000000000006	0.0005	0.017242723107337952
89000	146.19	62.17020106128015	199.23	1076	0.0376	0.0005	0.01746453113026089
90000	149.46	58.813165192837566	199.23	1083	0.036000000000000004	0.0005	0.017713764177428353
91000	153.02	56.45032860843239	199.23	1089	0.034400000000000014	0.0005	0.018020425571335687
92000	152.56	57.31811580992522	199.23	1095	0.03280000000000001	0.0005	0.01822392894162072
93000	151.68	56.85013280547373	199.23	1101	0.031200000000000006	0.0005	0.018436054521136815
94000	150.47	56.36372148820552	199.23	1107	0.0296	0.0005	0.018641828099886577
95000	150.29	56.34097886973565	199.23	1112	0.027999999999999997	0.0005	0.01884888834423489
96000	151.14	56.83520387928595	199.23	1118	0.026400000000000007	0.0005	0.01905800501505534
97000	151.16	56.76807553546271	199.23	1124	0.024800000000000003	0.0005	0.019295265873273213
98000	148.87	57.16024055232798	199.23	1130	0.023200000000000012	0.0005	0.01957602189646827
99000	157.55	49.653071405503205	199.23	1135	0.021600000000000008	0.0005	0.019822403921021355
100000	158.81	49.92328014063179	199.23	1141	0.02	0.0005	0.020073998901579116
