Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	18.25925925925926	6.095490698763355	-inf	54	0.982	0.0005	2.1778610017564562e-05
2000	20.989473684210527	9.358918894877037	-inf	95	0.964	0.0005	0.00019108441140916612
3000	22.81	10.679602052511132	22.84	137	0.946	0.0005	0.00032016191217634413
4000	22.6	10.999090871522062	24.02	182	0.9279999999999999	0.0005	0.0004490374856524997
5000	22.52	11.758809463546894	24.02	226	0.91	0.0005	0.0005836591455671522
6000	21.99	11.071129120374309	24.02	274	0.892	0.0005	0.0007138499948713514
7000	21.36	8.49884698062037	24.02	319	0.874	0.0005	0.0008514977826012505
8000	22.86	11.16335075145451	24.02	359	0.856	0.0005	0.0009892444478140938
9000	25.11	13.142979114340857	25.33	397	0.838	0.0005	0.0011268019676208495
10000	26.25	13.198768881982895	26.95	432	0.82	0.0005	0.0012670010990566678
11000	26.15	14.277517291181965	27.25	467	0.802	0.0005	0.0014051710897021823
12000	31.51	22.239377239482224	31.51	491	0.784	0.0005	0.0015469213326772054
13000	34.79	27.622561430830416	34.79	513	0.766	0.0005	0.0016899889045291477
14000	39.11	28.972019259968746	39.11	537	0.748	0.0005	0.0018306163946787517
15000	43.49	31.34597103297328	43.68	557	0.73	0.0005	0.001975364949968126
16000	47.01	32.691740547116794	47.05	572	0.712	0.0005	0.0021221160888671873
17000	50.41	36.26323068894993	51.28	590	0.694	0.0005	0.0022707433170742457
18000	52.96	36.518466561453536	52.96	609	0.6759999999999999	0.0005	0.0024167127741707697
19000	55.06	36.64691528628297	55.06	624	0.6579999999999999	0.0005	0.0025701504945755006
20000	55.8	37.45290375925477	56.11	644	0.6399999999999999	0.0005	0.0027201033300823635
21000	59.15	37.937151975339425	59.4	659	0.622	0.0005	0.0028723371691173976
22000	59.14	38.09173663670377	59.91	672	0.604	0.0005	0.0030298835701412625
23000	61.3	40.9332383277942	61.82	685	0.586	0.0005	0.0031862947013643053
24000	67.83	44.20385842887474	67.83	694	0.5680000000000001	0.0005	0.0033497858047485353
25000	72.32	45.86630135513436	72.32	705	0.55	0.0005	0.0035103836324479843
26000	77.06	48.77126613078647	77.06	713	0.532	0.0005	0.0036714344554477267
27000	80.28	49.50536940575234	80.28	722	0.514	0.0005	0.003831388619210985
28000	86.19	51.54933462228198	86.19	732	0.4959999999999999	0.0005	0.0039957911438412135
29000	92.17	53.57425781100471	92.17	739	0.478	0.0005	0.004163567754957411
30000	99.52	56.30727839276198	99.52	746	0.45999999999999996	0.0005	0.004331012235747444
31000	103.07	57.797794940637665	103.07	753	0.44199999999999995	0.0005	0.004498970574802822
32000	107.56	57.24374550988081	107.56	762	0.42399999999999993	0.0005	0.0046683097547954985
33000	112.82	57.185029509479136	112.82	770	0.4059999999999999	0.0005	0.004842119415601095
34000	115.24	57.79863666212206	115.24	776	0.3879999999999999	0.0005	0.005014694465531243
35000	121.84	58.689474354435994	121.84	782	0.37	0.0005	0.005191696882247925
36000	126.64	59.00364734488877	126.64	787	0.352	0.0005	0.005373995833926731
37000	131.33	59.33768701255552	131.33	793	0.33399999999999996	0.0005	0.005553433100382487
38000	137.65	58.05503854102587	137.65	798	0.31599999999999995	0.0005	0.00573542058467865
39000	142.62	57.65722504595586	142.62	803	0.29799999999999993	0.0005	0.00591705580552419
40000	144.77	58.441741076049404	144.77	808	0.2799999999999999	0.0005	0.0061013289292653405
41000	149.02	58.25443845751154	149.14	813	0.262	0.0005	0.006287407477696736
42000	154.57	57.16489394724702	154.57	818	0.244	0.0005	0.006472430295414395
43000	158.52	55.77212206828784	158.52	823	0.22599999999999998	0.0005	0.006659819417529636
44000	164.9	51.55569803620159	164.9	828	0.20799999999999996	0.0005	0.006851408614052666
45000	168.21	50.41969753975126	168.21	833	0.18999999999999995	0.0005	0.007046644753879971
46000	170.3	49.50707020214385	170.51	838	0.17199999999999993	0.0005	0.007240317795011732
47000	171.95	48.98925902685199	171.95	843	0.15400000000000003	0.0005	0.007433991962009006
48000	176.01	44.22996608635372	176.01	848	0.136	0.0005	0.007628103031052483
49000	179.66	41.284432901518706	179.66	853	0.118	0.0005	0.00782568249437544
50000	183.25	39.61423355310563	183.25	859	0.1	0.0005	0.008036294447051154
51000	186.78	35.0241573774445	186.78	864	0.0984	0.0005	0.008236771954430474
52000	192.08	25.11560471101582	192.08	869	0.09680000000000001	0.0005	0.008436134457588196
53000	192.74	25.011045559912134	192.74	874	0.0952	0.0005	0.008633747763103909
54000	194.48	20.83961611930507	194.8	879	0.0936	0.0005	0.00883169088098738
55000	196.65	9.928116639121438	196.65	884	0.092	0.0005	0.009031147758165995
56000	196.77	8.876773062323943	197.15	889	0.09040000000000001	0.0005	0.009230548606978523
57000	197.07	8.357338092957589	197.15	894	0.0888	0.0005	0.009444638027085199
58000	196.82	9.677169007514543	197.55	900	0.0872	0.0005	0.009645454155074226
59000	196.98	9.624946753099469	197.55	905	0.08560000000000001	0.0005	0.009845816360579596
60000	196.98	9.624946753099469	197.55	910	0.084	0.0005	0.010122943056954279
61000	197.27	9.268068838760318	197.55	915	0.0824	0.0005	0.010349545809957715
62000	197.18	9.284804790624303	197.55	920	0.08080000000000001	0.0005	0.010547794434759353
63000	197.18	9.284804790624303	197.55	925	0.0792	0.0005	0.010765320791138544
64000	197.32	9.220498901903301	197.55	930	0.0776	0.0005	0.011019593278566997
65000	197.29	9.216610005853564	197.55	935	0.07600000000000001	0.0005	0.011272541946834988
66000	197.44	9.104196834427515	197.55	940	0.07440000000000001	0.0005	0.011468991107410854
67000	197.06	9.913445415192436	197.55	945	0.0728	0.0005	0.011674077179696825
68000	196.91	9.98107709618556	197.55	950	0.07120000000000001	0.0005	0.011932456096013387
69000	197.08	9.887042024791844	197.55	955	0.06960000000000001	0.0005	0.012168146702978347
70000	194.58	21.100322272420392	197.55	961	0.068	0.0005	0.012371756037076314
71000	194.55	21.098992866959314	197.55	966	0.06640000000000001	0.0005	0.012569863001505534
72000	194.57	21.103201178968085	197.55	971	0.0648	0.0005	0.012817466921276516
73000	194.38	21.13895929321025	197.55	976	0.0632	0.0005	0.013084632224506803
74000	193.99	21.9656527333016	197.55	982	0.06160000000000001	0.0005	0.013335518638292949
75000	192.94	22.5941673889524	197.55	987	0.060000000000000005	0.0005	0.013614546656608582
76000	192.6	23.21680425898448	197.55	993	0.0584	0.0005	0.013867805865075853
77000	193.17	22.50513496960194	197.55	998	0.0568	0.0005	0.01406925916671753
78000	192.32	23.079809357964812	197.55	1003	0.0552	0.0005	0.01427271717124515
79000	192.14	23.089400165443884	197.55	1008	0.05360000000000001	0.0005	0.014472401407029893
80000	191.08	23.72327127526893	197.55	1014	0.052000000000000005	0.0005	0.014675778879059685
81000	190.14	23.97207542120623	197.55	1020	0.05040000000000001	0.0005	0.014877796371777852
82000	189.61	24.061959604321512	197.55	1025	0.0488	0.0005	0.01508623500665029
83000	189.61	24.06195960432151	197.55	1030	0.0472	0.0005	0.015285675856802199
84000	188.77	24.10305167401008	197.55	1035	0.0456	0.0005	0.015483895010418362
85000	187.65	24.413264836969265	197.55	1041	0.04400000000000001	0.0005	0.0156826521952947
86000	186.86	24.913056817660895	197.55	1046	0.04240000000000001	0.0005	0.01588118943903181
87000	186.49	24.928896886946283	197.55	1052	0.0408	0.0005	0.016079376141230266
88000	182.38	34.91325822663934	197.55	1060	0.039200000000000006	0.0005	0.016278289688958062
89000	181.35	35.086571505349454	197.55	1066	0.0376	0.0005	0.016480121943685744
90000	180.12	35.39894913694473	197.55	1071	0.036000000000000004	0.0005	0.01668246030807495
91000	178.25	35.524463401999476	197.55	1078	0.034400000000000014	0.0005	0.01690891941388448
92000	177.67	35.458159850731114	197.55	1083	0.03280000000000001	0.0005	0.017145430048306782
93000	177.92	35.31732719218712	197.55	1089	0.031200000000000006	0.0005	0.017350365585751003
94000	175.49	35.74954405303654	197.55	1095	0.0296	0.0005	0.017562125258975558
95000	174.64	35.87715707800717	197.55	1101	0.027999999999999997	0.0005	0.017769631147384644
96000	159.21	56.73751756994662	197.55	1115	0.026400000000000007	0.0005	0.017977849178844027
97000	158.93	56.79511510684699	197.55	1120	0.024800000000000003	0.0005	0.018183612757258945
98000	156.22	56.30960486453443	197.55	1127	0.023200000000000012	0.0005	0.018389030827416313
99000	154.86	55.86090224835255	197.55	1132	0.021600000000000008	0.0005	0.01859528640906016
100000	152.15	55.77407551900793	197.55	1140	0.02	0.0005	0.018801475233501858
