Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	18.78846153846154	7.4248453453500876	-inf	52	0.982	0.0005	2.1649930212232802e-05
2000	21.408602150537636	11.478110592654163	-inf	93	0.964	0.0005	0.00019779000017378066
3000	22.91	13.074475132868626	23.03	137	0.946	0.0005	0.000337395535575019
4000	21.99	11.358252506437776	23.35	184	0.9279999999999999	0.0005	0.0004659985171424018
5000	21.79	11.45713314926557	23.35	226	0.91	0.0005	0.0005947855446073744
6000	23.52	14.048117311583072	24.02	267	0.892	0.0005	0.0007339535819159614
7000	25.07	14.44386028733316	25.1	307	0.874	0.0005	0.0008728408151202732
8000	25.06	13.887994815667234	25.73	345	0.856	0.0005	0.0010089991490046183
9000	27.32	16.390167784376096	27.32	379	0.838	0.0005	0.0011447036266326904
10000	29.76	19.32621018203	29.89	406	0.82	0.0005	0.0012899505429797703
11000	32.5	23.501702066020666	32.5	436	0.802	0.0005	0.00143066578441196
12000	36.09	25.251968240119425	36.09	457	0.784	0.0005	0.0015765885512034098
13000	39.81	26.972094838925653	40.02	480	0.766	0.0005	0.0017586538526746963
14000	42.19	29.18482311065119	42.92	501	0.748	0.0005	0.0019205024507310655
15000	43.12	27.73203202075174	43.12	525	0.73	0.0005	0.002066788872083028
16000	47.26	31.18128284724668	47.43	542	0.712	0.0005	0.002217552728123135
17000	49.3	31.1802822309228	50.54	558	0.694	0.0005	0.0024123685889773897
18000	51.64	33.420807889696505	51.64	574	0.6759999999999999	0.0005	0.002618243892987569
19000	53.25	32.37232614440921	54.04	592	0.6579999999999999	0.0005	0.0028404863675435383
20000	56.93	32.65310245596886	56.93	611	0.6399999999999999	0.0005	0.0030981222126219006
21000	58.54	33.11326622367537	58.66	628	0.622	0.0005	0.003345456123352051
22000	62.11	36.81219770673846	62.11	638	0.604	0.0005	0.003523214128282335
23000	64.24	42.883124886136734	64.24	651	0.586	0.0005	0.003745176659690009
24000	68.88	47.5443540286331	69.24	659	0.5680000000000001	0.0005	0.003912185761663649
25000	72.63	50.375520840979895	73.07	670	0.55	0.0005	0.004086428549554613
26000	76.0	52.52789734988447	76.0	679	0.532	0.0005	0.004273413287268745
27000	81.24	54.571443081523874	81.24	688	0.514	0.0005	0.004447824954986572
28000	86.91	58.48847664283966	86.91	697	0.4959999999999999	0.0005	0.004650035500526428
29000	93.69	61.306882974100056	93.69	702	0.478	0.0005	0.004855558607313368
30000	101.09	62.504735020636645	101.09	709	0.45999999999999996	0.0005	0.00508149524529775
31000	107.34	64.34783912455802	107.34	715	0.44199999999999995	0.0005	0.005275766915745206
32000	113.46	65.16907548830196	113.46	723	0.42399999999999993	0.0005	0.005493715537918938
33000	120.52	65.82954959590717	120.52	728	0.4059999999999999	0.0005	0.005675285789701673
34000	125.38	66.79337991148523	125.53	733	0.3879999999999999	0.0005	0.005871777203347948
35000	129.42	67.38845301681884	129.42	738	0.37	0.0005	0.00644249333275689
36000	136.9	65.89772378466498	136.9	744	0.352	0.0005	0.0067432955238554216
37000	141.85	65.15801946038569	141.85	750	0.33399999999999996	0.0005	0.006919233865208096
38000	144.51	65.0904747255695	144.51	755	0.31599999999999995	0.0005	0.007246048053105672
39000	147.89	64.18814454398881	148.2	760	0.29799999999999993	0.0005	0.007561478614807129
40000	153.32	62.185187946970146	153.32	766	0.2799999999999999	0.0005	0.007747336626052857
41000	159.12	60.52954319999449	159.12	771	0.262	0.0005	0.007936424414316813
42000	162.33	58.25908598665103	162.33	776	0.244	0.0005	0.008125597768359714
43000	167.68	55.83957019891898	167.68	781	0.22599999999999998	0.0005	0.008323288295004103
44000	172.05	52.99686311471653	172.05	786	0.20799999999999996	0.0005	0.008516056934992472
45000	175.03	50.745926930148784	175.03	791	0.18999999999999995	0.0005	0.008716340793503655
46000	180.97	44.64357848560081	180.97	796	0.17199999999999993	0.0005	0.008914002180099488
47000	181.08	44.67676801202165	181.08	801	0.15400000000000003	0.0005	0.009112727244695027
