Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.346938775510203	8.627320203528484	-inf	49	0.982	0.0005	2.698798974355062e-05
2000	20.708333333333332	8.625201285896013	-inf	96	0.964	0.0005	0.00024713913599650063
3000	20.64	9.38884444433925	21.05	146	0.946	0.0005	0.00037604663107130263
4000	21.23	10.34684009734373	21.55	192	0.9279999999999999	0.0005	0.0005094299713770549
5000	21.93	11.889705631343444	22.07	236	0.91	0.0005	0.0006389591428968642
6000	22.68	11.893594914911134	22.99	279	0.892	0.0005	0.0007745877239439223
7000	24.71	13.947971178633829	24.71	318	0.874	0.0005	0.0009119307994842529
8000	26.07	14.353574467706641	26.07	354	0.856	0.0005	0.001047272483507792
9000	28.15	19.531704994700284	28.36	387	0.838	0.0005	0.0011978918976253933
10000	31.29	22.57932461345999	32.04	412	0.82	0.0005	0.0013439675172170003
11000	32.47	22.79274226590561	33.1	446	0.802	0.0005	0.001486238572332594
12000	34.43	22.029187456644873	34.58	470	0.784	0.0005	0.0016409491168128119
13000	36.88	23.456461796272684	37.74	493	0.766	0.0005	0.0017918872170978122
14000	38.72	25.990798371731486	39.73	516	0.748	0.0005	0.0019434338808059692
15000	42.23	28.41930857709244	42.23	538	0.73	0.0005	0.0020929544501834445
16000	47.23	34.68338362962876	47.23	552	0.712	0.0005	0.002244952188597785
17000	51.35	36.76231086316528	51.52	565	0.694	0.0005	0.0023931022485097248
18000	55.39	38.9381291281438	55.72	582	0.6759999999999999	0.0005	0.002545474105411106
19000	55.25	37.63465822881882	56.37	602	0.6579999999999999	0.0005	0.0027246066596772938
20000	59.87	38.56492058853486	59.87	614	0.6399999999999999	0.0005	0.0028791458076900906
21000	62.53	38.72659422154238	62.53	629	0.622	0.0005	0.0030350497033860948
22000	66.86	39.87907220585755	66.87	643	0.604	0.0005	0.003191266059875488
23000	63.25	37.821257250387646	67.88	660	0.586	0.0005	0.0033650124735302395
24000	66.42	40.82577127256753	67.88	670	0.5680000000000001	0.0005	0.0035275722212261625
25000	70.84	44.935001947257106	71.05	680	0.55	0.0005	0.003690540525648329
