Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.604166666666668	10.852687039264618	-inf	48	0.982	0.0005	2.2129217783610025e-05
2000	20.989473684210527	10.117722582147993	-inf	95	0.964	0.0005	0.00022248201900058323
3000	21.16	8.962945944275242	21.8	143	0.946	0.0005	0.0003778831164042155
4000	20.63	10.457203258998078	22.19	191	0.9279999999999999	0.0005	0.0005197597212261624
5000	20.01	10.538970537960525	22.19	243	0.91	0.0005	0.0006476630767186483
6000	20.26	9.116600243511831	22.19	288	0.892	0.0005	0.000780108372370402
7000	23.26	12.54880073951292	23.26	328	0.874	0.0005	0.0009108672539393108
8000	26.49	14.931506956767628	26.56	360	0.856	0.0005	0.0010416061348385282
9000	29.58	17.591009067134266	29.58	391	0.838	0.0005	0.0011861403120888604
10000	33.21	19.807723241200637	33.21	418	0.82	0.0005	0.0013257211446762085
11000	33.9	21.778200109283592	34.24	447	0.802	0.0005	0.0014676802688174777
12000	35.94	22.567596238855394	36.58	472	0.784	0.0005	0.0016080642408794828
13000	37.92	23.21408193317151	38.32	497	0.766	0.0005	0.0017481438981162176
14000	38.56	24.2958103384102	40.08	522	0.748	0.0005	0.0018926270140541925
15000	41.11	23.332335931063568	41.39	546	0.73	0.0005	0.0020410972171359593
16000	44.28	27.974302493538598	44.54	559	0.712	0.0005	0.002189989752239651
17000	50.7	38.231531489073255	50.7	570	0.694	0.0005	0.0023486055930455525
18000	54.27	40.73054259397976	54.27	586	0.6759999999999999	0.0005	0.0025074722369511923
19000	57.1	41.15495109947283	57.1	604	0.6579999999999999	0.0005	0.0026699137025409277
20000	60.92	41.96443255901359	60.92	619	0.6399999999999999	0.0005	0.0028264474868774413
21000	62.88	43.42908702701451	62.88	636	0.622	0.0005	0.0029951694938871597
22000	67.1	43.528496413269316	67.59	648	0.604	0.0005	0.0031534902917014227
23000	70.19	46.648621630226124	70.78	657	0.586	0.0005	0.0033230461014641657
24000	73.85	47.215331196550984	73.85	665	0.5680000000000001	0.0005	0.003502407802475823
25000	75.13	49.436960869373834	75.13	679	0.55	0.0005	0.003663768106036716
26000	79.13	52.56380028118211	79.13	686	0.532	0.0005	0.0038298922777175903
27000	83.07	55.508243531929566	83.07	696	0.514	0.0005	0.003995605839623345
28000	89.56	58.31557596388807	89.83	703	0.4959999999999999	0.0005	0.004181079732047187
29000	95.79	60.61423842629717	95.79	710	0.478	0.0005	0.004376159972614712
30000	101.57	62.84365600440509	101.57	717	0.45999999999999996	0.0005	0.004555054240756565
31000	107.65	63.46374949528274	107.65	723	0.44199999999999995	0.0005	0.0047272483507792154
32000	112.84	63.600899364710244	112.84	731	0.42399999999999993	0.0005	0.004897829757796394
33000	118.76	64.21792896068823	118.76	737	0.4059999999999999	0.0005	0.005069847504297892
34000	123.94	65.15900858668738	123.94	743	0.3879999999999999	0.0005	0.005240463945600722
35000	128.92	65.88348503229014	128.92	749	0.37	0.0005	0.005423666967286004
36000	132.86	66.42078289210389	132.86	754	0.352	0.0005	0.005621272789107429
37000	138.55	66.2313181206595	138.55	759	0.33399999999999996	0.0005	0.005815458363956875
38000	142.36	66.7149938169824	142.36	764	0.31599999999999995	0.0005	0.0060088050365448
39000	146.92	64.52715397412162	146.92	769	0.29799999999999993	0.0005	0.006195533937878079
40000	153.41	60.930631869364355	153.41	774	0.2799999999999999	0.0005	0.006403688920868768
41000	159.27	58.37514111331981	159.27	779	0.262	0.0005	0.006590674784448412
42000	161.35	57.698071891528585	161.35	784	0.244	0.0005	0.006778290271759033
43000	167.8	53.60783524821722	167.8	789	0.22599999999999998	0.0005	0.006990199486414592
44000	172.19	50.593022246155655	172.19	794	0.20799999999999996	0.0005	0.0072230702638626096
45000	175.58	47.17057981411719	175.58	799	0.18999999999999995	0.0005	0.007422036661042107
46000	178.64	43.97783987419119	178.64	804	0.17199999999999993	0.0005	0.0076170461045371165
47000	180.59	43.7499931428566	180.59	809	0.15400000000000003	0.0005	0.007806157535976833
48000	185.13	37.38600139089496	185.13	814	0.136	0.0005	0.007998513645595975
49000	185.68	37.46194869464214	185.68	819	0.118	0.0005	0.00820796615547604
50000	188.75	34.08588417512446	188.75	824	0.1	0.0005	0.008412824471791586
51000	191.99	29.873899979748213	191.99	829	0.0984	0.0005	0.008626722759670682
52000	194.93	22.295853874655712	194.93	834	0.09680000000000001	0.0005	0.008835218946139018
53000	198.25	11.078244445759445	198.25	839	0.0952	0.0005	0.009038806955019633
54000	198.25	11.078244445759445	198.25	844	0.0936	0.0005	0.009257905019654167
55000	199.37	4.300360450008812	199.37	849	0.092	0.0005	0.009459221098158095
56000	199.37	4.300360450008812	199.37	854	0.09040000000000001	0.0005	0.009654018614027236
57000	199.37	4.300360450008812	199.37	859	0.0888	0.0005	0.009848572214444478
58000	199.39	4.298592792996332	199.39	864	0.0872	0.0005	0.010042517847485012
59000	199.66	3.3829572861625095	199.66	869	0.08560000000000001	0.0005	0.010258313881026373
60000	200.0	0.0	200.0	874	0.084	0.0005	0.01048003335793813
61000	200.0	0.0	200.0	879	0.0824	0.0005	0.010681389702690973
62000	199.71	2.885463567609198	200.0	884	0.08080000000000001	0.0005	0.010884232256147597
63000	199.71	2.885463567609198	200.0	889	0.0792	0.0005	0.011084995534684923
64000	199.71	2.8854635676091984	200.0	894	0.0776	0.0005	0.011283276677131653
65000	198.75	6.359834903517543	200.0	900	0.07600000000000001	0.0005	0.011486855016814337
66000	197.43	9.06780568825777	200.0	905	0.07440000000000001	0.0005	0.011689055297109816
67000	197.43	9.067805688257772	200.0	910	0.0728	0.0005	0.01189079721768697
