Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.367346938775512	7.999219037266332	-inf	49	0.982	0.0005	2.3442175653245713e-05
2000	22.055555555555557	9.768840612558906	-inf	90	0.964	0.0005	0.00019694639576805964
3000	21.96	10.449803825909843	23.1	138	0.946	0.0005	0.0003232177760865953
4000	22.17	11.19022341153205	23.1	183	0.9279999999999999	0.0005	0.000452650785446167
5000	21.84	10.267151503703449	23.1	227	0.91	0.0005	0.0005810802512698703
6000	21.59	10.700556060317615	23.1	275	0.892	0.0005	0.0007124935918384128
7000	22.53	10.2210126699853	23.1	319	0.874	0.0005	0.0008446319897969564
8000	23.43	13.97444453278913	23.43	357	0.856	0.0005	0.0009773350424236722
9000	25.45	15.359931640472881	25.77	395	0.838	0.0005	0.0011125572522481283
10000	26.85	17.074176407663124	27.01	429	0.82	0.0005	0.0012513700458738539
11000	28.87	16.54548578918129	29.52	461	0.802	0.0005	0.001392464968893263
12000	32.31	18.007051396605718	32.36	485	0.784	0.0005	0.0015318719546000162
13000	36.21	20.13270721984502	36.21	510	0.766	0.0005	0.0016729075378841825
14000	39.04	22.863035668956996	39.41	531	0.748	0.0005	0.001816890041033427
15000	42.65	25.282157740192982	43.46	553	0.73	0.0005	0.0019623383548524644
16000	46.93	30.314437154596817	47.04	568	0.712	0.0005	0.0021075522237353856
17000	50.48	32.158507428050825	50.48	585	0.694	0.0005	0.002259694735209147
18000	53.4	37.87056904774471	53.57	602	0.6759999999999999	0.0005	0.002407507499059041
19000	55.18	38.273066247689115	55.18	618	0.6579999999999999	0.0005	0.0025557078255547417
20000	57.32	39.364674519167565	57.7	636	0.6399999999999999	0.0005	0.0027083502875434027
21000	58.17	40.096646991986745	58.17	656	0.622	0.0005	0.0028630038764741687
22000	59.49	40.11570640036144	59.49	669	0.604	0.0005	0.0030213780535591974
23000	63.62	43.76660370647921	63.62	679	0.586	0.0005	0.003177586396535238
24000	68.02	46.40128877520537	68.1	688	0.5680000000000001	0.0005	0.003337183329794142
25000	72.77	48.98425359235353	72.77	696	0.55	0.0005	0.0034967830446031357
26000	77.15	49.98827362492128	77.8	705	0.532	0.0005	0.0036595069037543403
27000	84.38	53.584285009692906	84.38	713	0.514	0.0005	0.0038206297821468775
28000	88.1	56.045071148139336	88.42	722	0.4959999999999999	0.0005	0.003982869452900357
29000	92.63	57.81585509183446	92.63	731	0.478	0.0005	0.004144983622762892
